,drug_id,name,type,class,moa,description,quesion,option_A,option_B,option_C,option_D,option_E,answers
950,DB03601,5-deoxyflavanone,small molecule,Phenylpropanoids and polyketides,unknown,"5-deoxyflavanone is a solid. This compound belongs to the flavanones. These are compounds containing a flavan-3-one moiety, whose structure is characterized by a 2-phenyl-3,4-dihydro-2H-1-benzopyran bearing a ketone at the carbon C3.",What is the state of 5-deoxyflavanone at room temperature?,Gas,Liquid,Solid,Plasma,Gel,C
951,DB03601,5-deoxyflavanone,small molecule,Phenylpropanoids and polyketides,unknown,"5-deoxyflavanone is a solid. This compound belongs to the flavanones. These are compounds containing a flavan-3-one moiety, whose structure is characterized by a 2-phenyl-3,4-dihydro-2H-1-benzopyran bearing a ketone at the carbon C3.",Which of the following is a calculated property of 5-deoxyflavanone according to ChemAxon?,logP value of 2.79,logS value of -3.3,Water Solubility of 1.33e-01 g/l,Molecular Weight of 256.2534,Traditional IUPAC Name is tetrahydrofolic acid,E
952,DB03601,5-deoxyflavanone,small molecule,Phenylpropanoids and polyketides,unknown,"5-deoxyflavanone is a solid. This compound belongs to the flavanones. These are compounds containing a flavan-3-one moiety, whose structure is characterized by a 2-phenyl-3,4-dihydro-2H-1-benzopyran bearing a ketone at the carbon C3.",What is the classification description of 5-deoxyflavanone?,A type of amino acid,A type of steroid,A type of flavanone,A type of enzyme inhibitor,A type of carbohydrate,C
953,DB03685,Uridine monophosphate,small molecule,"Nucleosides, nucleotides, and analogues",unknown,"5'-Uridylic acid. A uracil nucleotide containing one phosphate group esterified to the sugar moiety in the 2', 3' or 5' position.",Under which category is Uridine monophosphate classified in the MeSH database?,"Nucleic Acids, Nucleotides, and Nucleosides","Amino Acids, Peptides, and Proteins",Carbohydrates,Enzymes,Vitamins,A
954,DB03685,Uridine monophosphate,small molecule,"Nucleosides, nucleotides, and analogues",unknown,"5'-Uridylic acid. A uracil nucleotide containing one phosphate group esterified to the sugar moiety in the 2', 3' or 5' position.",What is the molecular formula of Uridine monophosphate?,C9H13N2O9P,C10H14N2O8P,C8H12N2O10P,C9H15N3O9P,C11H16N2O7P,A
955,DB03685,Uridine monophosphate,small molecule,"Nucleosides, nucleotides, and analogues",unknown,"5'-Uridylic acid. A uracil nucleotide containing one phosphate group esterified to the sugar moiety in the 2', 3' or 5' position.",Which of the following is a synonym for Uridine monophosphate?,Uridine diphosphate,Uridine triphosphate,Uridine 5'-monophosphate,Cytidine monophosphate,Adenosine monophosphate,C
956,DB03685,Uridine monophosphate,small molecule,"Nucleosides, nucleotides, and analogues",unknown,"5'-Uridylic acid. A uracil nucleotide containing one phosphate group esterified to the sugar moiety in the 2', 3' or 5' position.",What is the melting point of Uridine monophosphate?,150 dec °C,175 dec °C,190 dec °C,202 dec °C,220 dec °C,D
957,DB03854,Cadaverine,small molecule,Organic nitrogen compounds,unknown,Cadaverine is a foul-smelling diamine formed by bacterial decarboxylation of lysine.,What is the state of Cadaverine at room temperature?,Gas,Liquid,Solid,Plasma,Gel,C
958,DB03854,Cadaverine,small molecule,Organic nitrogen compounds,unknown,Cadaverine is a foul-smelling diamine formed by bacterial decarboxylation of lysine.,Which of the following is a synonym for Cadaverine?,"1,5-Diaminopentane","2,6-Diaminohexane","1,4-Diaminobutane","2,5-Diaminopentane","1,3-Diaminopropane",A
959,DB03854,Cadaverine,small molecule,Organic nitrogen compounds,unknown,Cadaverine is a foul-smelling diamine formed by bacterial decarboxylation of lysine.,What is the molecular formula of Cadaverine?,C4H12N2,C5H14N2,C6H16N2,C3H10N2,C7H18N2,B
960,DB03854,Cadaverine,small molecule,Organic nitrogen compounds,unknown,Cadaverine is a foul-smelling diamine formed by bacterial decarboxylation of lysine.,Cadaverine belongs to which of the following chemical classes?,Diols,Diamines,Triamines,Monoamines,Tetraamines,B
961,DB03945,"N,N,N-Trimethyl-2-(phosphonooxy)ethanaminium",small molecule,Organic nitrogen compounds,unknown,Calcium and magnesium salts used therapeutically in hepatobiliary dysfunction.,"What is the state of N,N,N-Trimethyl-2-(phosphonooxy)ethanaminium at room temperature?",Gas,Liquid,Solid,Plasma,Gel,C
962,DB03945,"N,N,N-Trimethyl-2-(phosphonooxy)ethanaminium",small molecule,Organic nitrogen compounds,unknown,Calcium and magnesium salts used therapeutically in hepatobiliary dysfunction.,"Which of the following categories does N,N,N-Trimethyl-2-(phosphonooxy)ethanaminium belong to?",Amines,Carbohydrates,Steroids,Enzymes,Vitamins,A
963,DB03945,"N,N,N-Trimethyl-2-(phosphonooxy)ethanaminium",small molecule,Organic nitrogen compounds,unknown,Calcium and magnesium salts used therapeutically in hepatobiliary dysfunction.,"What is the molecular formula of N,N,N-Trimethyl-2-(phosphonooxy)ethanaminium?",C5H15NO4P,C6H12O6,C12H22O11,C3H8O3,C2H6O,A
964,DB03945,"N,N,N-Trimethyl-2-(phosphonooxy)ethanaminium",small molecule,Organic nitrogen compounds,unknown,Calcium and magnesium salts used therapeutically in hepatobiliary dysfunction.,"What is the therapeutic use of N,N,N-Trimethyl-2-(phosphonooxy)ethanaminium?",Treatment of diabetes,Hepatobiliary dysfunction,Cardiovascular diseases,Neurological disorders,None of the above,B
965,DB04265,N-acetyl-beta-neuraminic acid,small molecule,Organic oxygen compounds,unknown,"An N-acyl derivative of neuraminic acid. N-acetylneuraminic acid occurs in many polysaccharides, glycoproteins, and glycolipids in animals and bacteria. (From Dorland, 28th ed, p1518)",What is the state of N-acetyl-beta-neuraminic acid at room temperature?,Gas,Liquid,Solid,Plasma,Gel,C
966,DB04265,N-acetyl-beta-neuraminic acid,small molecule,Organic oxygen compounds,unknown,"An N-acyl derivative of neuraminic acid. N-acetylneuraminic acid occurs in many polysaccharides, glycoproteins, and glycolipids in animals and bacteria. (From Dorland, 28th ed, p1518)",Which of the following is a synonym for N-acetyl-beta-neuraminic acid?,beta-sialic acid,Acetaminophen,Ascorbic acid,Ibuprofen,Paracetamol,A
967,DB04265,N-acetyl-beta-neuraminic acid,small molecule,Organic oxygen compounds,unknown,"An N-acyl derivative of neuraminic acid. N-acetylneuraminic acid occurs in many polysaccharides, glycoproteins, and glycolipids in animals and bacteria. (From Dorland, 28th ed, p1518)",What is the molecular formula of N-acetyl-beta-neuraminic acid?,C10H16N2O3,C12H22O11,C11H19NO9,C9H8O4,C13H18O2,C
968,DB04265,N-acetyl-beta-neuraminic acid,small molecule,Organic oxygen compounds,unknown,"An N-acyl derivative of neuraminic acid. N-acetylneuraminic acid occurs in many polysaccharides, glycoproteins, and glycolipids in animals and bacteria. (From Dorland, 28th ed, p1518)",Which organism is associated with the target of N-acetyl-beta-neuraminic acid?,Homo sapiens,Escherichia coli,Saccharomyces cerevisiae,Clostridium tetani (strain Massachusetts / E88),Mus musculus,D
969,DB04315,Guanosine-5'-Diphosphate,small molecule,"Nucleosides, nucleotides, and analogues",unknown,A guanine nucleotide containing two phosphate groups esterified to the sugar moiety. [PubChem],What is the state of Guanosine-5'-Diphosphate at room temperature?,Gas,Liquid,Solid,Plasma,Gel,C
970,DB04315,Guanosine-5'-Diphosphate,small molecule,"Nucleosides, nucleotides, and analogues",unknown,A guanine nucleotide containing two phosphate groups esterified to the sugar moiety. [PubChem],Which of the following categories does Guanosine-5'-Diphosphate belong to?,Purine ribonucleoside monophosphates,Purine ribonucleoside diphosphates,Monoalkyl phosphates,Secondary alcohols,Aminopyrimidines and derivatives,B
971,DB04315,Guanosine-5'-Diphosphate,small molecule,"Nucleosides, nucleotides, and analogues",unknown,A guanine nucleotide containing two phosphate groups esterified to the sugar moiety. [PubChem],What is the CAS number of Guanosine-5'-Diphosphate?,DB04315,EXPT01573,443.2005,146-91-8,HLJ737P865,D
972,DB04315,Guanosine-5'-Diphosphate,small molecule,"Nucleosides, nucleotides, and analogues",unknown,A guanine nucleotide containing two phosphate groups esterified to the sugar moiety. [PubChem],Which of the following is NOT a subclass or alternative parent category of Guanosine-5'-Diphosphate?,6-oxopurines,Glycosylamines,Vinylogous amides,Purine ribonucleoside monophosphates,Organic pyrophosphates,E
973,DB04364,(R)-acetoin,small molecule,Organic oxygen compounds,unknown,A product of fermentation. It is a component of the butanediol cycle in microorganisms. In mammals it is oxidized to carbon dioxide.,What is the state of (R)-acetoin at room temperature?,Liquid,Gas,Solid,Plasma,Gel,C
974,DB04364,(R)-acetoin,small molecule,Organic oxygen compounds,unknown,A product of fermentation. It is a component of the butanediol cycle in microorganisms. In mammals it is oxidized to carbon dioxide.,Which of the following is a synonym of (R)-acetoin?,(R)-2-acetoin,(R)-dimethylglyoxal,(R)-butanone,(R)-methylketone,(R)-hydroxybutane,A
975,DB04364,(R)-acetoin,small molecule,Organic oxygen compounds,unknown,A product of fermentation. It is a component of the butanediol cycle in microorganisms. In mammals it is oxidized to carbon dioxide.,What is the molecular formula of (R)-acetoin?,C3H6O,C4H8O2,C5H10O2,C2H4O,C6H12O2,B
976,DB04364,(R)-acetoin,small molecule,Organic oxygen compounds,unknown,A product of fermentation. It is a component of the butanediol cycle in microorganisms. In mammals it is oxidized to carbon dioxide.,Which class of organic compounds does (R)-acetoin belong to?,Aldehydes,Acyloins,Esters,Ethers,Alkanes,B
977,DB04465,Lactose,small molecule,Organic oxygen compounds,unknown,"A disaccharide of glucose and galactose in human and cow milk. It is used in pharmacy for tablets, in medicine as a nutrient, and in industry.",What is the chemical classification of Lactose?,Amino acids,O-glycosyl compounds,Nucleic acids,Fatty acids,Steroids,B
978,DB04465,Lactose,small molecule,Organic oxygen compounds,unknown,"A disaccharide of glucose and galactose in human and cow milk. It is used in pharmacy for tablets, in medicine as a nutrient, and in industry.",What is the state of Lactose at room temperature?,Gas,Liquid,Solid,Plasma,Gel,C
979,DB04465,Lactose,small molecule,Organic oxygen compounds,unknown,"A disaccharide of glucose and galactose in human and cow milk. It is used in pharmacy for tablets, in medicine as a nutrient, and in industry.",Which of the following is a product containing Lactose?,Lac-tol Pwr 50gm/pck,Ascorbic Acid 100mg Tablet,Ibuprofen Suspension,Paracetamol 500mg Capsule,Amoxicillin 250mg Syrup,A
980,DB04465,Lactose,small molecule,Organic oxygen compounds,unknown,"A disaccharide of glucose and galactose in human and cow milk. It is used in pharmacy for tablets, in medicine as a nutrient, and in industry.",What is the molecular formula of Lactose?,C6H12O6,C12H22O11,C11H22O11,C10H20O10,C12H24O12,B
981,DB04852,Implitapide,small molecule,Organoheterocyclic compounds,unknown,Implitapide is a microsomal triglyceride transfer protein (MTP)-inhibitor.,What is the primary therapeutic use of Implitapide?,Treatment of hypertension,Treatment of diabetes mellitus,Treatment of atherosclerosis,Treatment of bacterial infections,Treatment of viral infections,C
982,DB04852,Implitapide,small molecule,Organoheterocyclic compounds,unknown,Implitapide is a microsomal triglyceride transfer protein (MTP)-inhibitor.,Which of the following is NOT a category associated with Implitapide?,"Heterocyclic Compounds, Fused-Ring",Alpha carbolines,Antibiotics,Indoles and derivatives,Pyridoindoles,C
